	驮	dou2	㊀拿。
	摝	lhuk7	㊀用力摇晃液体。㊁漱口。
	摝嘴	lhuk7 cv3
	串	chion5	㊀掺和。
	串串	chion5 chion
	罩	cao5
	包	pao1
	包脚	pao1 kiak7	扎蹄
	陷	gan6	㊀挤。
	馅	gan6	㊀包馅。
	馅糕	gan6 kao9
	馅拭饼	gan6 xih7 pin3
	馅猪肉	gan6 cy1 niuk8
	馅糖霜	gan6 dong2 song1
	馅红糖	gan6 ng2 dong2
	馅头	gan6 deo2
	馅盐菜	gan6 yan2 chei5
	囥	khong5	㊀放。
	囥床	khong5 zong2
	吊	tiao5	㊀用绳子绑住，栓住。
	校	kao5	㊀设置。
	校闹钟	kao5 nao6 ciung9
	铰	kao5	㊀安装。
	铰电话	kao5 dian6 wa6
	铰空调	kao5 khung1 diao6
	铰电风扇	kao5 dian6 fung1 xian5
	找	cao3	㊀退回，补足。
	找钞票	cao3 chao3 phiao5
1	找转	cao3 cion3
	找多少	cao3 tou1 xiao3
	交	kao1
	埋	ma2	㊀躲藏。
	埋何横	ma2 ra2 vang2
	埋呕㙮ㄦ	ma2 eo3 tan
	埋哪㙮ㄦ	ma2 lho3 tan
	刷	xvh7
	挜	o5
	硬挜	ngang6 o5
	摘	cak7	㊀被东西扎到，绊到。
	摘着摘爻	cak7 djih8 cak7 rao
	掏	dao2	㊀推。
	争	dzang2	㊀力求获得。
	抢	chiang3
	huan	huan3	㊀轻轻缠绕。
	mak	mak8	㊀用棒打。
	ga	ga4	㊀切割。
